VideoGame [name=Mario Bros., console=Atari 7800 [NA]]
VideoGame [name=Mario Bros. - Arcade Classics Series (3 Screw Cartridge), console=Nintendo Entertainment System [US]]
VideoGame [name=Mario Paint, console=Super Nintendo [NA]]
VideoGame [name=Mario's Tennis, console=Virtual Boy [NA]]
VideoGame [name=Super Mario All-Stars, console=Super Nintendo [NA]]
VideoGame [name=Super Mario Bros.  (5 Screw Cartridge), console=Nintendo Entertainment System [US]]
VideoGame [name=Super Mario Bros. / Duck Hunt (No Nintendo Seal of Quality), console=Nintendo Entertainment System [US]]
VideoGame [name=Super Mario Bros. 2 (No Nintendo Seal of Quality), console=Nintendo Entertainment System [US]]
VideoGame [name=Super Mario Bros. 3 (Bros. above Mario's Head), console=Nintendo Entertainment System [US]]
VideoGame [name=Super Mario Kart, console=Super Nintendo [NA]]
VideoGame [name=Super Mario World, console=Super Nintendo [NA]]
VideoGame [name=Super Mario World 2: Yoshi's Island, console=Super Nintendo [NA]]
VideoGame [name="Boy And His Blob, A", console=Nintendo Entertainment System [US]]
